timestamp, utilization.gpu [%], power.draw [W]
2026/03/03 11:01:41.059, 5 %, 11.00 W
2026/03/03 11:01:42.060, 4 %, 11.36 W
2026/03/03 11:01:43.060, 4 %, 10.77 W
2026/03/03 11:01:44.060, 9 %, 11.94 W
2026/03/03 11:01:45.061, 4 %, 10.67 W
2026/03/03 11:01:46.061, 4 %, 11.24 W
2026/03/03 11:01:47.062, 0 %, 10.30 W
2026/03/03 11:01:48.062, 0 %, 10.28 W
2026/03/03 11:01:49.063, 3 %, 10.34 W
2026/03/03 11:01:50.064, 4 %, 11.76 W
2026/03/03 11:01:51.064, 5 %, 11.45 W
2026/03/03 11:01:52.064, 4 %, 11.62 W
2026/03/03 11:01:53.065, 5 %, 11.57 W
2026/03/03 11:01:54.065, 7 %, 10.84 W
2026/03/03 11:01:55.066, 5 %, 11.06 W
2026/03/03 11:01:56.066, 4 %, 10.83 W
2026/03/03 11:01:57.067, 4 %, 10.66 W
2026/03/03 11:01:58.068, 4 %, 10.67 W
2026/03/03 11:01:59.068, 6 %, 10.95 W
2026/03/03 11:02:00.069, 4 %, 11.00 W
2026/03/03 11:02:01.069, 4 %, 10.79 W
2026/03/03 11:02:02.069, 21 %, 11.32 W
2026/03/03 11:02:03.070, 4 %, 11.18 W
2026/03/03 11:02:04.071, 6 %, 8.64 W
2026/03/03 11:02:05.071, 6 %, 5.64 W
2026/03/03 11:02:06.072, 8 %, 7.42 W
2026/03/03 11:02:07.072, 0 %, 10.30 W
2026/03/03 11:02:08.072, 0 %, 10.25 W
2026/03/03 11:02:09.073, 0 %, 10.24 W
2026/03/03 11:02:10.073, 4 %, 11.75 W
2026/03/03 11:02:11.074, 2 %, 11.02 W
2026/03/03 11:02:12.074, 2 %, 11.46 W
2026/03/03 11:02:13.074, 2 %, 11.49 W
2026/03/03 11:02:14.075, 4 %, 11.17 W
2026/03/03 11:02:15.075, 5 %, 10.98 W
2026/03/03 11:02:16.076, 7 %, 10.91 W
2026/03/03 11:02:17.076, 4 %, 10.64 W
2026/03/03 11:02:18.077, 4 %, 10.72 W
2026/03/03 11:02:19.078, 4 %, 10.87 W
2026/03/03 11:02:20.078, 4 %, 10.62 W
2026/03/03 11:02:21.078, 5 %, 10.75 W
2026/03/03 11:02:22.079, 4 %, 10.99 W
2026/03/03 11:02:23.079, 4 %, 11.15 W
2026/03/03 11:02:24.080, 19 %, 11.33 W
2026/03/03 11:02:25.080, 4 %, 11.18 W
2026/03/03 11:02:26.080, 6 %, 8.66 W
2026/03/03 11:02:27.081, 5 %, 5.63 W
