timestamp, utilization.gpu [%], power.draw [W], utilization.memory [%], temperature.gpu
2026/03/03 14:39:20.707, 4 %, 11.39 W,,
2026/03/03 14:39:21.707, 18 %, 11.35 W,,
2026/03/03 14:39:22.707, 4 %, 12.21 W,,
2026/03/03 14:39:23.707, 3 %, 11.01 W,,
2026/03/03 14:39:24.707, 5 %, 6.85 W,,
2026/03/03 14:39:25.707, 7 %, 6.35 W,,
2026/03/03 14:39:26.708, 2 %, 10.58 W,,
2026/03/03 14:39:27.708, 3 %, 10.84 W,,
2026/03/03 14:39:28.708, 3 %, 10.86 W,,
2026/03/03 14:39:29.708, 40 %, 12.01 W,,
2026/03/03 14:39:30.708, 3 %, 11.25 W,,
2026/03/03 14:39:31.708, 1 %, 11.92 W,,
2026/03/03 14:39:32.708, 4 %, 12.09 W,,
2026/03/03 14:39:33.709, 4 %, 11.39 W,,
2026/03/03 14:39:34.709, 4 %, 11.36 W,,
2026/03/03 14:39:35.709, 4 %, 11.17 W,,
2026/03/03 14:39:36.709, 3 %, 11.03 W,,
2026/03/03 14:39:37.709, 3 %, 11.04 W,,
2026/03/03 14:39:38.710, 3 %, 11.03 W,,
2026/03/03 14:39:39.710, 3 %, 11.06 W,,
2026/03/03 14:39:40.710, 3 %, 11.36 W,,
2026/03/03 14:39:41.711, 3 %, 11.38 W,,
2026/03/03 14:39:42.711, 4 %, 11.15 W,,
2026/03/03 14:39:43.711, 19 %, 11.80 W,,
2026/03/03 14:39:44.712, 3 %, 11.76 W,,
2026/03/03 14:39:45.712, 4 %, 11.05 W,,
2026/03/03 14:39:46.712, 4 %, 7.03 W,,
2026/03/03 14:39:47.713, 2 %, 9.76 W,,
2026/03/03 14:39:48.713, 2 %, 10.81 W,,
2026/03/03 14:39:49.713, 2 %, 10.81 W,,
2026/03/03 14:39:50.713, 2 %, 10.80 W,,
2026/03/03 14:39:51.714, 2 %, 11.87 W,,
2026/03/03 14:39:52.714, 3 %, 11.59 W,,
2026/03/03 14:39:53.714, 4 %, 11.91 W,,
2026/03/03 14:39:54.714, 3 %, 12.08 W,,
2026/03/03 14:39:55.715, 3 %, 11.57 W,,
2026/03/03 14:39:56.715, 3 %, 11.12 W,,
2026/03/03 14:39:57.715, 5 %, 11.10 W,,
2026/03/03 14:39:58.715, 2 %, 10.81 W,,
2026/03/03 14:39:59.715, 2 %, 10.78 W,,
2026/03/03 14:40:00.716, 4 %, 10.85 W,,
2026/03/03 14:40:01.716, 3 %, 11.13 W,,
2026/03/03 14:40:02.716, 3 %, 10.93 W,,
2026/03/03 14:40:03.716, 4 %, 10.98 W,,
2026/03/03 14:40:04.716, 15 %, 11.46 W,,
2026/03/03 14:40:05.717, 3 %, 11.17 W,,
2026/03/03 14:40:06.717, 17 %, 11.44 W,,
2026/03/03 14:40:07.717, 4 %, 12.05 W,,
2026/03/03 14:40:08.717, 3 %, 11.00 W,,
2026/03/03 14:40:09.718, 4 %, 6.81 W,,
2026/03/03 14:40:10.718, 1 %, 8.09 W,,
2026/03/03 14:40:11.718, 3 %, 10.72 W,,
2026/03/03 14:40:12.718, 3 %, 10.93 W,,
2026/03/03 14:40:13.718, 3 %, 11.03 W,,
2026/03/03 14:40:14.719, 43 %, 11.96 W,,
2026/03/03 14:40:15.719, 3 %, 11.37 W,,
2026/03/03 14:40:16.719, 3 %, 11.90 W,,
2026/03/03 14:40:17.719, 3 %, 11.90 W,,
2026/03/03 14:40:18.719, 2 %, 11.41 W,,
2026/03/03 14:40:19.720, 3 %, 11.40 W,,
2026/03/03 14:40:20.720, 3 %, 11.23 W,,
2026/03/03 14:40:21.720, 2 %, 10.87 W,,
2026/03/03 14:40:22.721, 2 %, 10.90 W,,
2026/03/03 14:40:23.721, 2 %, 11.12 W,,
2026/03/03 14:40:24.721, 3 %, 10.93 W,,
2026/03/03 14:40:25.721, 3 %, 10.97 W,,
2026/03/03 14:40:26.721, 4 %, 11.28 W,,
2026/03/03 14:40:27.722, 2 %, 11.33 W,,
2026/03/03 14:40:28.722, 16 %, 11.27 W,,
2026/03/03 14:40:29.723, 2 %, 12.01 W,,
2026/03/03 14:40:30.723, 2 %, 10.91 W,,
2026/03/03 14:40:31.723, 2 %, 9.28 W,,
2026/03/03 14:40:32.723, 3 %, 10.88 W,,
2026/03/03 14:40:33.724, 3 %, 11.01 W,,
2026/03/03 14:40:34.724, 4 %, 11.07 W,,
2026/03/03 14:40:35.724, 43 %, 12.01 W,,
2026/03/03 14:40:36.724, 3 %, 11.42 W,,
2026/03/03 14:40:37.725, 3 %, 11.93 W,,
2026/03/03 14:40:38.725, 3 %, 12.02 W,,
2026/03/03 14:40:39.726, 4 %, 11.57 W,,
2026/03/03 14:40:40.726, 3 %, 11.23 W,,
2026/03/03 14:40:41.726, 5 %, 11.18 W,,
2026/03/03 14:40:42.726, 3 %, 10.87 W,,
2026/03/03 14:40:43.727, 3 %, 10.99 W,,
2026/03/03 14:40:44.727, 3 %, 11.20 W,,
2026/03/03 14:40:45.727, 3 %, 11.01 W,,
2026/03/03 14:40:46.727, 2 %, 11.18 W,,
2026/03/03 14:40:47.728, 3 %, 11.53 W,,
2026/03/03 14:40:48.728, 3 %, 11.35 W,,
2026/03/03 14:40:49.728, 8 %, 12.43 W,,
2026/03/03 14:40:50.729, 3 %, 11.14 W,,
2026/03/03 14:40:51.730, 5 %, 6.83 W,,
2026/03/03 14:40:52.730, 4 %, 7.39 W,,
2026/03/03 14:40:53.730, 3 %, 11.01 W,,
2026/03/03 14:40:54.730, 0 %, 10.93 W,,
2026/03/03 14:40:55.731, 0 %, 10.44 W,,
2026/03/03 14:40:56.731, 3 %, 11.81 W,,
2026/03/03 14:40:57.731, 3 %, 11.57 W,,
2026/03/03 14:40:58.731, 3 %, 11.99 W,,
2026/03/03 14:40:59.731, 3 %, 12.07 W,,
2026/03/03 14:41:00.732, 4 %, 11.48 W,,
2026/03/03 14:41:01.732, 3 %, 11.31 W,,
2026/03/03 14:41:02.732, 4 %, 11.04 W,,
2026/03/03 14:41:03.733, 4 %, 11.00 W,,
2026/03/03 14:41:04.734, 3 %, 11.12 W,,
2026/03/03 14:41:05.734, 3 %, 11.06 W,,
2026/03/03 14:41:06.735, 3 %, 11.05 W,,
2026/03/03 14:41:07.735, 3 %, 11.05 W,,
2026/03/03 14:41:08.735, 3 %, 11.07 W,,
2026/03/03 14:41:09.735, 18 %, 11.78 W,,
2026/03/03 14:41:10.736, 3 %, 10.86 W,,
2026/03/03 14:41:11.736, 3 %, 11.37 W,,
2026/03/03 14:41:12.736, 18 %, 12.12 W,,
2026/03/03 14:41:13.736, 3 %, 11.38 W,,
2026/03/03 14:41:14.737, 3 %, 11.00 W,,
2026/03/03 14:41:15.737, 4 %, 6.77 W,,
2026/03/03 14:41:16.737, 4 %, 6.26 W,,
2026/03/03 14:41:17.737, 4 %, 6.15 W,,
2026/03/03 14:41:18.738, 5 %, 6.14 W,,
2026/03/03 14:41:19.738, 5 %, 6.42 W,,
2026/03/03 14:41:20.738, 5 %, 6.23 W,,
2026/03/03 14:41:21.739, 5 %, 8.18 W,,
2026/03/03 14:41:22.739, 2 %, 10.80 W,,
2026/03/03 14:41:23.739, 2 %, 10.80 W,,
2026/03/03 14:41:24.739, 3 %, 10.81 W,,
2026/03/03 14:41:25.739, 3 %, 11.93 W,,
2026/03/03 14:41:26.739, 3 %, 11.49 W,,
2026/03/03 14:41:27.740, 3 %, 11.94 W,,
2026/03/03 14:41:28.740, 3 %, 11.97 W,,
2026/03/03 14:41:29.740, 4 %, 11.21 W,,
2026/03/03 14:41:30.741, 1 %, 11.17 W,,
2026/03/03 14:41:31.741, 2 %, 11.04 W,,
2026/03/03 14:41:32.741, 2 %, 10.80 W,,
2026/03/03 14:41:33.741, 3 %, 10.89 W,,
2026/03/03 14:41:34.742, 3 %, 10.96 W,,
2026/03/03 14:41:35.742, 3 %, 11.31 W,,
2026/03/03 14:41:36.742, 3 %, 10.98 W,,
2026/03/03 14:41:37.743, 3 %, 11.06 W,,
2026/03/03 14:41:38.743, 2 %, 11.75 W,,
2026/03/03 14:41:39.744, 12 %, 11.00 W,,
2026/03/03 14:41:40.744, 8 %, 12.24 W,,
2026/03/03 14:41:41.745, 3 %, 10.95 W,,
2026/03/03 14:41:42.745, 4 %, 6.82 W,,
2026/03/03 14:41:43.746, 9 %, 7.02 W,,
2026/03/03 14:41:44.746, 3 %, 11.14 W,,
2026/03/03 14:41:45.747, 3 %, 10.92 W,,
2026/03/03 14:41:46.747, 3 %, 10.88 W,,
2026/03/03 14:41:47.748, 32 %, 11.47 W,,
2026/03/03 14:41:48.748, 3 %, 11.31 W,,
2026/03/03 14:41:49.748, 0 %, 11.68 W,,
2026/03/03 14:41:50.749, 3 %, 11.69 W,,
2026/03/03 14:41:51.749, 3 %, 11.10 W,,
2026/03/03 14:41:52.749, 4 %, 11.38 W,,
2026/03/03 14:41:53.749, 5 %, 11.14 W,,
2026/03/03 14:41:54.749, 3 %, 10.98 W,,
2026/03/03 14:41:55.750, 1 %, 11.01 W,,
2026/03/03 14:41:56.750, 3 %, 11.23 W,,
2026/03/03 14:41:57.751, 3 %, 11.03 W,,
2026/03/03 14:41:58.751, 4 %, 11.16 W,,
2026/03/03 14:41:59.751, 4 %, 11.89 W,,
2026/03/03 14:42:00.751, 4 %, 10.89 W,,
2026/03/03 14:42:01.752, 18 %, 11.49 W,,
2026/03/03 14:42:02.752, 3 %, 12.03 W,,
2026/03/03 14:42:03.753, 2 %, 10.80 W,,
2026/03/03 14:42:04.753, 0 %, 5.37 W,,
2026/03/03 14:42:05.753, 4 %, 5.11 W,,
2026/03/03 14:42:06.754, 0 %, 10.39 W,,
2026/03/03 14:42:07.755, 0 %, 10.52 W,,
2026/03/03 14:42:08.756, 2 %, 10.64 W,,
2026/03/03 14:42:09.756, 30 %, 10.92 W,,
2026/03/03 14:42:10.757, 1 %, 11.27 W,,
2026/03/03 14:42:11.757, 2 %, 11.56 W,,
2026/03/03 14:42:12.757, 1 %, 11.68 W,,
2026/03/03 14:42:13.758, 0 %, 10.57 W,,
2026/03/03 14:42:14.758, 1 %, 10.95 W,,
2026/03/03 14:42:15.758, 1 %, 11.22 W,,
2026/03/03 14:42:16.759, 0 %, 10.84 W,,
2026/03/03 14:42:17.760, 0 %, 10.39 W,,
2026/03/03 14:42:18.761, 0 %, 10.39 W,,
2026/03/03 14:42:19.761, 0 %, 10.38 W,,
2026/03/03 14:42:20.762, 0 %, 10.35 W,,
2026/03/03 14:42:21.763, 0 %, 10.35 W,,
2026/03/03 14:42:22.763, 0 %, 10.39 W,,
2026/03/03 14:42:23.764, 13 %, 11.19 W,,
2026/03/03 14:42:24.764, 0 %, 10.53 W,,
2026/03/03 14:42:25.764, 12 %, 10.81 W,,
2026/03/03 14:42:26.765, 1 %, 11.19 W,,
2026/03/03 14:42:27.766, 0 %, 10.34 W,,
2026/03/03 14:42:28.766, 0 %, 5.22 W,,
2026/03/03 14:42:29.767, 0 %, 4.68 W,,
2026/03/03 14:42:30.768, 0 %, 4.68 W,,
2026/03/03 14:42:31.768, 0 %, 4.28 W,,
2026/03/03 14:42:32.768, 0 %, 4.26 W,,
2026/03/03 14:42:33.769, 0 %, 4.40 W,,
2026/03/03 14:42:34.770, 0 %, 10.09 W,,
2026/03/03 14:42:35.770, 0 %, 10.33 W,,
2026/03/03 14:42:36.771, 0 %, 10.33 W,,
2026/03/03 14:42:37.772, 29 %, 10.73 W,,
2026/03/03 14:42:38.773, 0 %, 10.96 W,,
2026/03/03 14:42:39.774, 0 %, 11.30 W,,
2026/03/03 14:42:40.774, 0 %, 11.37 W,,
2026/03/03 14:42:41.775, 0 %, 11.20 W,,
2026/03/03 14:42:42.775, 0 %, 10.57 W,,
2026/03/03 14:42:43.776, 0 %, 10.71 W,,
2026/03/03 14:42:44.776, 0 %, 10.53 W,,
2026/03/03 14:42:45.777, 0 %, 10.30 W,,
2026/03/03 14:42:46.777, 0 %, 10.31 W,,
2026/03/03 14:42:47.778, 0 %, 10.29 W,,
2026/03/03 14:42:48.778, 0 %, 10.50 W,,
2026/03/03 14:42:49.779, 0 %, 10.38 W,,
2026/03/03 14:42:50.779, 0 %, 10.62 W,,
2026/03/03 14:42:51.780, 0 %, 10.37 W,,
2026/03/03 14:42:52.780, 5 %, 11.49 W,,
2026/03/03 14:42:53.780, 0 %, 10.36 W,,
2026/03/03 14:42:54.781, 0 %, 5.31 W,,
2026/03/03 14:42:55.782, 0 %, 4.67 W,,
2026/03/03 14:42:56.782, 5 %, 6.58 W,,
2026/03/03 14:42:57.783, 0 %, 10.32 W,,
2026/03/03 14:42:58.783, 0 %, 10.32 W,,
